Date,Price,Open,High,Low,Volume,Chg%
"Nov 29, 2021",22.852,23.16,23.46,22.775,66.86K,-1.22%
"Nov 25, 2021",23.135,23.61,23.77,22.935,55.88K,-1.54%
"Nov 24, 2021",23.496,23.64,23.695,23.4,54.62K,0.26%
"Nov 23, 2021",23.435,24.21,24.34,23.28,93.87K,-3.55%
"Nov 22, 2021",24.297,24.67,24.955,24.14,78.54K,-1.95%
"Nov 19, 2021",24.781,24.85,25.04,24.61,67.98K,-0.48%
"Nov 18, 2021",24.9,25.15,25.23,24.73,63.62K,-1.06%
"Nov 17, 2021",25.167,24.86,25.285,24.85,54.35K,0.89%
"Nov 16, 2021",24.944,25.135,25.49,24.825,77.00K,-0.64%
"Nov 15, 2021",25.105,25.425,25.465,24.97,68.48K,-0.95%
"Nov 12, 2021",25.346,25.35,25.47,24.925,66.39K,0.18%
"Nov 11, 2021",25.301,24.71,25.365,24.645,82.02K,2.14%
"Nov 10, 2021",24.772,24.375,25.22,24.04,131.56K,1.87%
"Nov 09, 2021",24.318,24.55,24.565,24.09,65.11K,-0.91%
"Nov 08, 2021",24.542,24.285,24.59,24.13,67.62K,1.59%
"Nov 05, 2021",24.157,23.87,24.255,23.665,73.24K,1.03%
"Nov 04, 2021",23.911,23.53,24.115,23.485,68.46K,2.93%
"Nov 03, 2021",23.231,23.57,23.665,23.045,67.16K,-1.17%
"Nov 02, 2021",23.507,24.13,24.14,23.43,63.00K,-2.35%
"Nov 01, 2021",24.073,23.985,24.175,23.81,37.06K,0.52%
"Oct 29, 2021",23.949,24.135,24.14,23.705,57.80K,-0.71%
"Oct 28, 2021",24.12,24.13,24.31,24.02,45.96K,-0.29%
"Oct 27, 2021",24.191,24.22,24.33,23.905,48.09K,0.43%
"Oct 26, 2021",24.088,24.65,24.655,23.925,61.76K,-2.05%
"Oct 25, 2021",24.592,24.395,24.695,24.365,44.83K,0.58%
"Oct 22, 2021",24.449,24.22,24.92,24.185,83.28K,1.15%
"Oct 21, 2021",24.17,24.37,24.55,24.07,58.68K,-1.12%
"Oct 20, 2021",24.445,23.71,24.495,23.615,73.13K,2.35%
"Oct 19, 2021",23.883,23.25,24.18,23.22,79.07K,2.66%
"Oct 18, 2021",23.264,23.38,23.495,23.035,47.03K,-0.36%
"Oct 15, 2021",23.349,23.565,23.645,23.1,52.25K,-0.55%
"Oct 14, 2021",23.477,23.1,23.625,22.925,54.28K,1.32%
"Oct 13, 2021",23.17,22.57,23.285,22.48,71.90K,2.91%
"Oct 12, 2021",22.514,22.61,22.79,22.325,42.93K,-0.67%
"Oct 11, 2021",22.665,22.685,22.83,22.495,29.93K,-0.18%
"Oct 08, 2021",22.705,22.61,23.22,22.435,69.58K,0.21%
"Oct 07, 2021",22.658,22.64,22.84,22.385,41.56K,0.56%
